Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	E9PC69	Non-specific serine/threonine protein kinase OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=3	0	11.086	5	4	4	3	778	86.6	9.64	9.94	4	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus	membrane;mitochondrion	catalytic activity;enzyme regulator activity;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00069, Pf00627, Pf02149, Pf07714, Pf14531"	2011	ENSG00000072518.20	11	Regulation of Microtubule Cytoskeleton	MARK2			1	1	NA	168.1	118.6	137.9	148.4	177.1	149.8	1	
High	Q9NYY8	"FAST kinase domain-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD2 PE=1 SV=1"	0	10.355	5	3	4	3	710	81.4	8.05	11.25	3	cell organization and biogenesis;metabolic process	mitochondrion;nucleus	catalytic activity;RNA binding	"Pf06743, Pf08368, Pf08373"	22868	ENSG00000118246.13	2		FASTKD2			0	0	NA	70.6	61.9	64.4	59.2	33.4	14.1	1	
High	P83369	U7 snRNA-associated Sm-like protein LSm11 OS=Homo sapiens OX=9606 GN=LSM11 PE=1 SV=2	0	9.706	11	3	4	3	360	39.5	10.99	8.58	3	metabolic process;regulation of biological process	nucleus	protein binding;RNA binding	Pf01423	134353	ENSG00000155858.5	5		LSM11		Cleavage of Growing Transcript in the Termination Region ; SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs; SLBP independent Processing of Histone Pre-mRNAs	8	0	NA	109	161.3	141.9	140.6	76.5	62.1	1	
High	Q96CT7	Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1	0	9.189	14	3	4	3	223	25.8	9.54	13.76	3	cell division	cytoplasm;cytoskeleton	RNA binding	Pf06244	115098	ENSG00000007080.10	19		CCDC124			0	0	NA	79.8	90.4	69.5	62.3	65	113	1	
High	E7EVJ4	Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=1	0	8.92	5	2	3	2	511	56.3	9.7	9.02	2			RNA binding	Pf00035		ENSG00000040341.17	8					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9UK58	Cyclin-L1 OS=Homo sapiens OX=9606 GN=CCNL1 PE=1 SV=1	0	8.673	8	3	5	3	526	59.6	10.7	16.23	3	metabolic process;regulation of biological process	nucleus	enzyme regulator activity;protein binding	Pf00134	57018	ENSG00000163660.11	3		CCNL1			0	0	NA	215.6	295.5	292.4	300.9	243.6	239.5	1	
High	Q9UBT6	DNA polymerase kappa OS=Homo sapiens OX=9606 GN=POLK PE=1 SV=1	0	8.625	5	3	4	3	870	98.7	8.13	11.6	3	metabolic process;response to stimulus	nucleus	catalytic activity;DNA binding;metal ion binding	"Pf00817, Pf11798, Pf11799"	51426	ENSG00000122008.15	5	Aryl Hydrocarbon Receptor Pathway	POLK	Fanconi anemia pathway	Termination of translesion DNA synthesis; Translesion synthesis by POLK; Gap-filling DNA repair synthesis and ligation in TC-NER; HDR through Homologous Recombination (HRR); Dual incision in TC-NER; Gap-filling DNA repair synthesis and ligation in GG-NER; Dual Incision in GG-NER	18	0	NA	NA	NA	NA	NA	NA	NA	1	
High	P53597	"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4"	0	8.356	10	3	6	3	346	36.2	8.79	16.34	3	metabolic process	cytosol;membrane;mitochondrion;organelle lumen	catalytic activity;nucleotide binding;RNA binding	"Pf00549, Pf02629, Pf13607"	8802	ENSG00000163541.11	2	Amino Acid metabolism; TCA Cycle	SUCLG1	Propanoate metabolism; Carbon metabolism; Metabolic pathways; Citrate cycle (TCA cycle)	Citric acid cycle (TCA cycle)	10	0	NA	162.3	254.8	253.5	265	566.6	289.7	1	
High	B4DHE8	RNA-binding protein Musashi homolog 2 OS=Homo sapiens OX=9606 GN=MSI2 PE=1 SV=1	0	8.247	9	2	3	2	324	34.8	8.88	6.38	2		cytoplasm	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	124540	ENSG00000153944.10	17		MSI2			0	0	NA	863.1	203.2	218.1	194	454.4	369.2	1	
High	O75525	"KH domain-containing, RNA-binding, signal transduction-associated protein 3 OS=Homo sapiens OX=9606 GN=KHDRBS3 PE=1 SV=1"	0	8.155	5	2	10	1	346	38.8	7.61	24.24	2	cell organization and biogenesis;metabolic process;regulation of biological process	nucleus	protein binding;RNA binding	Pf00013	10656	ENSG00000131773.13	8		KHDRBS3		PTK6 Regulates Proteins Involved in RNA Processing	4	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9UIV1	CCR4-NOT transcription complex subunit 7 OS=Homo sapiens OX=9606 GN=CNOT7 PE=1 SV=3	0	7.404	5	1	2	1	285	32.7	4.84	10.14	1	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;metal ion binding;protein binding;RNA binding;signal transducer activity	Pf04857	29883	ENSG00000198791.11	8		CNOT7	RNA degradation	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; Deadenylation of mRNA	10	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q5F1R6	DnaJ homolog subfamily C member 21 OS=Homo sapiens OX=9606 GN=DNAJC21 PE=1 SV=2	0	7.209	5	2	2	2	531	62	5.47	5.98	2	metabolic process	cytoplasm;nucleus;ribosome	DNA binding;metal ion binding;protein binding;RNA binding	"Pf00226, Pf12171, Pf12874, Pf13868, Pf13892"	134218	ENSG00000168724.14	5		DNAJC21			0	0	NA	53.3	19.9	26.1	22.9	36.4	38	1	
High	Q9NUL7	Probable ATP-dependent RNA helicase DDX28 OS=Homo sapiens OX=9606 GN=DDX28 PE=1 SV=2	0	6.88	6	2	2	2	540	59.5	10.42	5.02	2	cell organization and biogenesis;metabolic process	cytosol;mitochondrion;nucleus;organelle lumen	catalytic activity;nucleotide binding;RNA binding	"Pf00270, Pf00271"	55794	ENSG00000182810.6	16		DDX28			0	0	NA	51.5	31.6	24.4	19.4	18.2	12.8	1	
High	Q969Z0	FAST kinase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TBRG4 PE=1 SV=1	0	6.857	4	3	5	3	631	70.7	7.42	13.78	3	metabolic process;regulation of biological process	mitochondrion	catalytic activity;protein binding;RNA binding	"Pf06743, Pf08368, Pf08373"	9238	ENSG00000136270.13	7		TBRG4			0	0	NA	285.3	496.8	472.4	340.2	389.6	291.8	1	
High	F8W8D3	Histone RNA hairpin-binding protein OS=Homo sapiens OX=9606 GN=SLBP PE=1 SV=1	0	5.865	7	1	2	1	277	32.1	7.47	7.92	1		cytosol;nucleus	RNA binding	Pf15247		ENSG00000163950.12	4					0	0	NA	149.5	123.7	128.5	113.9	136	196.9	1	
High	Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2	0	5.396	10	2	4	2	312	34.3	8.43	13.01	2	cell communication;cell death;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus	cell surface;cytoplasm;cytosol;endoplasmic reticulum;extracellular;Golgi;membrane;nucleus	protein binding;RNA binding	Pf01588	9255	ENSG00000164022.16	4		AIMP1		Cytosolic tRNA aminoacylation; SeMet incorporation into proteins	8	0	NA	118.7	148.6	138.3	148	299.4	143.4	1	
High	O15234	Protein CASC3 OS=Homo sapiens OX=9606 GN=CASC3 PE=1 SV=2	0	5.316	2	1	1	1	703	76.2	6.48	3.07	1	metabolic process;regulation of biological process;transport	cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding	Pf09405	22794	ENSG00000108349.16	17		CASC3	mRNA surveillance pathway; RNA transport	mRNA 3'-end processing; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Regulation of expression of SLITs and ROBOs; Transport of Mature mRNA derived from an Intron-Containing Transcript; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	19	0	NA	79.2	30.8	34.8	32.7	58.3	69.4	1	
High	G3V1V1	"Zinc finger CCHC-type and RNA binding motif 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=ZCRB1 PE=1 SV=1"	0	5.309	14	2	2	2	176	20.1	7.08	2.31	2	metabolic process	spliceosomal complex	metal ion binding;RNA binding	"Pf00076, Pf00098, Pf13893, Pf14259"	85437	ENSG00000139168.7	12		ZCRB1			0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9H6S0	3'-5' RNA helicase YTHDC2 OS=Homo sapiens OX=9606 GN=YTHDC2 PE=1 SV=2	0	5.257	2	2	2	2	1430	160.1	8.4	6.39	2	metabolic process;regulation of biological process;response to stimulus	cytoplasm;endoplasmic reticulum	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00271, Pf01424, Pf04146, Pf04408, Pf07717, Pf12796, Pf13637, Pf13857"	64848	ENSG00000047188.15	5		YTHDC2			0	0	NA	33.5	21.8	22.3	26.3	57.6	63.5	1	
High	H7C561	Splicing factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=8	0	5.17	9	2	5	1	291	30.1	9.1	11.55	2	metabolic process		metal ion binding;RNA binding			ENSG00000168066.20	11					0	0	NA	89.2	109.9	106.2	110	99.8	88.8	1	
High	Q13825	"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=AUH PE=1 SV=1"	0	5.121	6	2	2	2	339	35.6	9.48	5.71	2	metabolic process	mitochondrion;organelle lumen	catalytic activity;RNA binding	Pf00378	549	ENSG00000148090.11	9	Amino Acid metabolism	AUH	"Metabolic pathways; Valine, leucine and isoleucine degradation"	Branched-chain amino acid catabolism	6	0	NA	57.2	36	43.1	42.2	131	111.2	1	
High	A0A087WYN9	ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=1	0.001	4.587	1	2	2	2	1370	155.2	8.15	4.82	2	metabolic process;regulation of biological process	cytoplasm	catalytic activity;nucleotide binding;RNA binding	"Pf00270, Pf00271, Pf04408, Pf07717"		ENSG00000067248.9	5					0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	P57723	Poly(rC)-binding protein 4 OS=Homo sapiens OX=9606 GN=PCBP4 PE=2 SV=1	0.001	3.861	5	2	7	1	403	41.5	8.16	16.23	2	regulation of biological process;response to stimulus	cytoplasm;cytosol	DNA binding;RNA binding	"Pf00013, Pf13014"	57060	ENSG00000090097.21	3		PCBP4		TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest; Transcriptional  activation of  cell cycle inhibitor p21	13	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9NX07	tRNA selenocysteine 1-associated protein 1 OS=Homo sapiens OX=9606 GN=TRNAU1AP PE=1 SV=1	0.002	3.389	11	2	2	2	287	32.5	4.74	5.18	2	metabolic process;regulation of biological process	cytoplasm;nucleus	RNA binding	"Pf00076, Pf13893, Pf14259"	54952	ENSG00000180098.9	1	Selenium Metabolism and Selenoproteins	TRNAU1AP			1	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q8IZH2	5'-3' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1	0.002	3.3	1	1	1	1	1706	194	7.21	2.84	1	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;protein binding;RNA binding	Pf03159	54464	ENSG00000114127.10	3		XRN1	RNA degradation; Ribosome biogenesis in eukaryotes	"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA; Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA; mRNA decay by 5' to 3' exoribonuclease"	8	0	NA	86.2	33.6	42.5	44.2	129.3	153.8	1	
High	H0YCH1	Deformed epidermal autoregulatory factor 1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=DEAF1 PE=1 SV=1	0.005	2.382	3	1	1	1	349	37.9	8.5	3.01	1			DNA binding;metal ion binding	"Pf01342, Pf01753"		ENSG00000177030.16	11					0	0	NA	NA	NA	NA	NA	NA	NA	1	
Medium	P54253	Ataxin-1 OS=Homo sapiens OX=9606 GN=ATXN1 PE=1 SV=2	0.019	1.771	1	1	1	1	815	86.9	8.35	2.14	1	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;nucleus	DNA binding;protein binding;RNA binding	"Pf08517, Pf12547"	6310	ENSG00000124788.17	6		ATXN1			0	0	NA	NA	NA	NA	NA	NA	NA	1	
Medium	A0A1B0GVH5	Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens OX=9606 GN=FTO PE=1 SV=1	0.039	1.381	3	1	1	1	559	64.1	5.38	2.64	1	metabolic process;regulation of biological process		catalytic activity	"Pf12933, Pf12934"		ENSG00000140718.20	16					0	0	NA	NA	NA	NA	NA	NA	NA	1	
